Unnamed: 0,Date,Open,High,Low,Close,Adj Close,PercentageChange,Difference,Volume,Currency,Month,MonthStr,Volatility,AverageVolatility
156,2021-06-05,1.0011370182037354,1.0025240182876587,0.9997569918632508,1.0010370016098022,1.0010370016098022,0.0099912984007849,0.0001000165939331,300422493,DAI,6,June,0.00010001659393310547,15.96366805773642
157,2021-06-06,1.0008480548858645,1.0022820234298706,1.0004249811172483,1.0019320249557495,1.0019320249557495,-0.108187985101375,-0.001083970069885,235689087,DAI,6,June,-0.0010839700698850319,15.96366805773642
158,2021-06-07,1.001996994018555,1.0023469924926758,1.0001519918441772,1.0012489557266235,1.0012489557266235,0.0747105190625152,0.0007480382919313,327524797,DAI,6,June,0.0007480382919313744,15.96366805773642
159,2021-06-08,1.0011969804763794,1.0023590326309204,1.0000070333480835,1.0013619661331177,1.0013619661331177,-0.0164761257485536,-0.0001649856567382,474148514,DAI,6,June,-0.00016498565673828125,15.96366805773642
160,2021-06-09,1.0013740062713623,1.002593994140625,1.0003570318222046,1.0011030435562134,1.0011030435562134,0.0270664160790467,0.0002709627151489,394037000,DAI,6,June,0.0002709627151489258,15.96366805773642
161,2021-06-10,1.0011630058288574,1.002774953842163,1.000648021697998,1.0012860298156738,1.0012860298156738,-0.0122865977506001,-0.0001230239868164,335628518,DAI,6,June,-0.00012302398681640625,15.96366805773642
162,2021-06-11,1.0012760162353516,1.002323031425476,0.9991419911384584,1.0013350248336792,1.0013350248336792,-0.0058929925413762,-5.900859832763672e-05,301631289,DAI,6,June,-5.900859832763672e-05,15.96366805773642
163,2021-06-12,1.0016419887542725,1.0025899410247805,1.0000020265579224,1.0017139911651611,1.0017139911651611,-0.0071879210556818,-7.200241088867188e-05,280732916,DAI,6,June,-7.200241088867188e-05,15.96366805773642
164,2021-06-13,1.0017770528793335,1.0028640031814575,1.0004260540008545,1.0011290311813354,1.0011290311813354,0.0647290886403902,0.000648021697998,270969903,DAI,6,June,0.0006480216979980469,15.96366805773642
165,2021-06-14,1.0011650323867798,1.0022070407867432,1.0003089904785156,1.0013389587402344,1.0013389587402344,-0.0173693784643517,-0.0001739263534545,242301146,DAI,6,June,-0.00017392635345458984,15.96366805773642
166,2021-06-15,1.0010279417037964,1.011361002922058,0.9999330043792723,1.001276969909668,1.001276969909668,-0.0248710609906516,-0.0002490282058715,286555901,DAI,6,June,-0.00024902820587158203,15.96366805773642
167,2021-06-16,1.0010219812393188,1.0019619464874268,0.999119997024536,1.0005600452423096,1.0005600452423096,0.0461677436757339,0.0004619359970092,364257414,DAI,6,June,0.00046193599700927734,15.96366805773642
168,2021-06-17,1.000588059425354,1.001978039741516,1.0001970529556274,1.001500964164734,1.001500964164734,-0.0911536555675191,-0.0009129047393801,286060450,DAI,6,June,-0.0009129047393801049,15.96366805773642
169,2021-06-18,1.001482009887695,1.0029449462890625,1.000113010406494,1.0024369955062866,1.0024369955062866,-0.0952663980751438,-0.0009549856185915,381114476,DAI,6,June,-0.0009549856185915306,15.96366805773642
170,2021-06-19,1.00252103805542,1.0028740167617798,1.0004760026931765,1.0017119646072388,1.0017119646072388,0.0807690710271571,0.0008090734481811,251048495,DAI,6,June,0.0008090734481811523,15.96366805773642
171,2021-06-20,1.001431941986084,1.0043200254440308,1.0003620386123655,1.0020350217819214,1.0020350217819214,-0.0601855007786997,-0.0006030797958374,339455930,DAI,6,June,-0.0006030797958374023,15.96366805773642
172,2021-06-21,1.0019210577011108,1.0040199756622314,1.000566005706787,1.001173973083496,1.001173973083496,0.0746208588816801,0.0007470846176147,607962270,DAI,6,June,0.0007470846176147461,15.96366805773642
173,2021-06-22,1.0011340379714966,1.0033169984817505,1.0005769729614258,1.0016109943389893,1.0016109943389893,-0.0476189229339921,-0.0004769563674926,671381877,DAI,6,June,-0.0004769563674926758,15.96366805773642
174,2021-06-23,1.0016109943389893,1.0031150579452517,1.0003670454025269,1.0013060569763184,1.0013060569763184,0.0304539616580098,0.0003049373626708,424147508,DAI,6,June,0.00030493736267089844,15.96366805773642
175,2021-06-24,1.00136399269104,1.0022109746932983,1.0001260042190552,1.0006309747695925,1.0006309747695925,0.0732555697285223,0.0007330179214475,282431450,DAI,6,June,0.0007330179214475319,15.96366805773642
176,2021-06-25,1.000722050666809,1.0015889406204224,0.9982839822769164,1.000602960586548,1.000602960586548,0.0119018316906836,0.000119090080261,336682045,DAI,6,June,0.00011909008026100842,15.96366805773642
177,2021-06-26,1.0005199909210205,1.00300395488739,0.9992640018463136,1.00300395488739,1.00300395488739,-0.2476524598198906,-0.0024839639663694,303692070,DAI,6,June,-0.002483963966369407,15.96366805773642
178,2021-06-27,1.003074049949646,1.0036050081253052,1.0003889799118042,1.0025010108947754,1.0025010108947754,0.0571609453400095,0.0005730390548706,295963346,DAI,6,June,0.0005730390548706055,15.96366805773642
179,2021-06-28,1.0025160312652588,1.0025540590286257,1.0001399517059326,1.0006389617919922,1.0006389617919922,0.187587086345814,0.0018770694732666,324136454,DAI,6,June,0.0018770694732666016,15.96366805773642
180,2021-06-29,1.0004700422286987,1.0017919540405271,1.0004639625549316,1.0011999607086182,1.0011999607086182,-0.0729043656177153,-0.0007299184799194,286175950,DAI,6,June,-0.0007299184799194336,15.96366805773642
181,2021-06-30,1.000872015953064,1.001883029937744,0.9996749758720398,1.001505970954895,1.001505970954895,-0.0633001719626898,-0.000633955001831,355237053,DAI,6,June,-0.0006339550018310547,15.96366805773642
152,2021-06-01,0.3257440030574798,0.3830789923667907,0.3123599886894226,0.3700770139694214,0.3700770139694214,-11.979401378223594,-0.0443330109119415,5796031087,DOGE,6,June,-0.044333010911941584,15.96366805773642
